Fecha,Anio,Mes,Dia,NombreMes,NombreDia,Trimestre,EsFestivo,Hora,RangoHorario,Localidad,Barrio,Direccion,NomViaPrincipal,NomViaSecundaria,Cuadrante,Latitud,Longitud,TipoVehiculo,TipoServicio,SubtipoServicio,TipoIncidente,ClaseSiniestro,ObjetoFijo,CondicionClimatica,CantIncidentes,CantHeridos,CantMuertos
2025-04-17,2025,4,17,Abril,Jueves,2,1,8,Hora Pico Mañana,Los Mártires,Voto Nacional,Avenida Caracas con Calle 13,Avenida Caracas,Calle 13,CAI Voto Nacional,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Húmedo,1,1,0
2025-05-19,2025,5,19,Mayo,Lunes,2,1,7,Hora Pico Mañana,Los Mártires,Eduardo Santos,Carrera 18 con Calle 1F,Carrera 18,Calle 1F,CAI Eduardo Santos,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Lluvia,1,1,0
2025-09-15,2025,9,15,Septiembre,Lunes,3,0,6,Hora Pico Mañana,Antonio Nariño,Ciudad Berna,Avenida Caracas con Calle 11 Sur,Avenida Caracas,Calle 11 Sur,CAI Berna,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Niebla,1,1,0
2024-06-15,2024,6,15,Junio,Sábado,2,0,19,Noche,Kennedy,Tintal,Avenida Ciudad de Cali con Calle 6,Avenida Ciudad de Cali,Calle 6,CAI Tintal,5,-74,Motocicleta,Particular,No Aplica,Volcamiento con lesionado,Volcamiento,Andén,Despejado,1,3,0
2024-07-01,2024,7,1,Julio,Lunes,3,1,11,Hora Valle,Suba,Lisboa,Calle 134 con Carrera 150,Calle 134,Carrera 150,CAI Lisboa,5,-74,Motocicleta,Particular,No Aplica,Choque objeto fijo con lesionado,Choque,Semáforo,Despejado,1,2,0
2024-12-08,2024,12,8,Diciembre,Domingo,4,1,19,Noche,Chapinero,El Lago,Carrera 15 con Calle 79,Carrera 15,Calle 79,CAI El Lago,5,-74,Motocicleta,Particular,No Aplica,Autolesionado,Autolesionado,Ninguno,Despejado,1,1,0
2024-12-25,2024,12,25,Diciembre,Miércoles,4,1,2,Madrugada,Suba,Tibabuyes,Avenida Ciudad de Cali con Calle 139,Avenida Ciudad de Cali,Calle 139,CAI La Gaitana,5,-74,Motocicleta,Particular,No Aplica,Atropello,Atropello,Ninguno,Despejado,1,1,0
2025-01-25,2025,1,25,Enero,Sábado,1,0,14,Hora Valle,Teusaquillo,Ciudad Salitre Oriental,Avenida Carrera 50 con Calle 24,Avenida Carrera 50,Calle 24,CAI Salitre,5,-74,Motocicleta,Particular,No Aplica,Choque con objeto fijo,Choque,Poste,Lluvia,1,0,0
2025-02-12,2025,2,12,Febrero,Miércoles,1,0,18,Hora Pico Tarde,Barrios Unidos,7 de Agosto,Carrera 24 con Calle 66,Carrera 24,Calle 66,CAI 7 de Agosto,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Despejado,1,1,0
2022-01-20,2022,1,20,Enero,Jueves,1,0,18,Hora Pico Tarde,Teusaquillo,Ciudad Universitaria,Avenida El Dorado con Carrera 30,Avenida El Dorado,Carrera 30,CAI NQS Calle 26,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Despejado,1,1,0
2023-01-01,2023,1,1,Enero,Domingo,1,1,4,Madrugada,Chapinero,Suni,Carrera 7 con Calle 85,Carrera 7,Calle 85,CAI Chico,5,-74,Automóvil particular,Particular,No Aplica,Aprisionamiento,Otros,Ninguno,Despejado,1,0,0
2023-05-15,2023,5,15,Mayo,Lunes,2,0,8,Hora Pico Mañana,Engativá,Boyacá Real,Avenida Boyacá con Calle 68,Avenida Boyacá,Calle 68,CAI Boyacá Real,5,-74,Automóvil particular,Particular,No Aplica,Choque con lesionado,Choque,Ninguno,Lluvia,1,4,0
2023-11-22,2023,11,22,Noviembre,Miércoles,4,0,8,Hora Pico Mañana,Puente Aranda,Pensilvania,Calle 6 con Carrera 32,Calle 6,Carrera 32,CAI Pensilvania,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Lluvia,1,1,0
2024-05-13,2024,5,13,Mayo,Lunes,2,1,6,Hora Pico Mañana,Kennedy,Banderas,Avenida Américas con Carrera 78G,Avenida Américas,Carrera 78G,CAI Banderas,5,-74,Automóvil particular,Particular,No Aplica,Sustancia química en vía,Otros,ACPM,Despejado,1,0,0
2024-08-07,2024,8,7,Agosto,Miércoles,3,1,15,Hora Valle,Engativá,Quirigua,Calle 80 con Carrera 94,Calle 80,Carrera 94,CAI Quirigua,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Despejado,1,0,0
2025-01-05,2025,1,5,Enero,Domingo,1,0,0,Madrugada,Barrios Unidos,Patria,Carrera 30 con Calle 80,Carrera 30,Calle 80,CAI Polo,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Lluvia,1,0,0
2024-02-14,2024,2,14,Febrero,Miércoles,1,0,12,Hora Valle,Engativá,Quirigua,Calle 80 con Carrera 94,Calle 80,Carrera 94,CAI Quirigua,5,-74,Automóvil particular,Particular,No Aplica,Volcamiento,Volcamiento,Ninguno,Despejado,1,0,0
2024-05-13,2024,5,13,Mayo,Lunes,2,1,6,Hora Pico Mañana,Ciudad Bolívar,El Ensueño,Avenida Jorge Gaitán Cortés con Calle 61 Sur,Av. Jorge Gaitán C.,Calle 61 Sur,CAI Ensueño,5,-74,Automóvil particular,Particular,No Aplica,Choque con lesionado,Choque,Ninguno,Lluvia,1,4,0
2024-06-15,2024,6,15,Junio,Sábado,2,0,19,Noche,Teusaquillo,Palermo Sur,Avenida Caracas con Calle 34,Avenida Caracas,Calle 34,CAI Teusaquillo,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Despejado,1,0,0
2024-07-01,2024,7,1,Julio,Lunes,3,1,11,Hora Valle,Rafael Uribe Uribe,Olaya,Carrera 24 con Calle 27 Sur,Carrera 24,Calle 27 Sur,CAI Olaya,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Húmedo,1,1,0
2025-06-20,2025,6,20,Junio,Viernes,2,0,23,Madrugada,San Cristóbal,San Blas,Carrera 11 Este con Calle 20 Sur,Carrera 11 Este,Calle 20 Sur,CAI San Blas,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Lluvia,1,1,0
2025-11-03,2025,11,3,Noviembre,Lunes,4,1,16,Hora Pico Tarde,Engativá,Tabora,Carrera 76 con Calle 74,Carrera 76,Calle 74,CAI Tabora,5,-74,Automóvil particular,Particular,No Aplica,Vehículo mal estacionado,Otros,Ninguno,Despejado,1,0,0
2025-12-25,2025,12,25,Diciembre,Jueves,4,1,3,Madrugada,Usaquén,Torca,Autopista Norte con Calle 235,Autopista Norte,Calle 235,CAI Peaje,5,-74,Automóvil particular,Particular,No Aplica,Aprisionamiento,Otros,Ninguno,Lluvia,1,0,0
2025-01-01,2025,1,1,Enero,Miércoles,1,1,0,Madrugada,Bosa,Piamonte,Carrera 80B con Calle 54 Sur,Carrera 80B,Calle 54 Sur,CAI Piamonte,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Despejado,1,0,0
2025-01-02,2025,1,2,Enero,Jueves,1,0,0,Madrugada,Ciudad Bolívar,Meissen,Avenida Boyacá con Calle 61 Sur,Avenida Boyacá,Calle 61 Sur,CAI Meissen,5,-74,Automóvil particular,Particular,No Aplica,Choque con lesionado,Choque,Ninguno,Despejado,1,3,0
2025-01-04,2025,1,4,Enero,Sábado,1,0,0,Madrugada,Chapinero,Suni,Carrera 7 con Calle 85,Carrera 7,Calle 85,CAI Chico,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Despejado,1,1,0
2024-08-19,2024,8,19,Agosto,Lunes,3,1,17,Hora Pico Tarde,Fontibón,San Pablo,Calle 17A con Carrera 102,Calle 17A,Carrera 102,CAI Fontibón Centro,5,-74,Automóvil particular,Particular,No Aplica,Atropello,Atropello,Ninguno,Niebla,1,1,0
2024-11-11,2024,11,11,Noviembre,Lunes,4,1,16,Hora Valle,Fontibón,Capellanía,Carrera 86 con Calle 22A,Carrera 86,Calle 22A,CAI Capellanía,5,-74,Automóvil particular,Particular,No Aplica,Choque con lesionado,Choque,Ninguno,Despejado,1,2,0
2025-02-28,2025,2,28,Febrero,Viernes,1,0,22,Noche,Barrios Unidos,Metrópolis,Avenida Carrera 68 con Calle 75,Avenida Carrera 68,Calle 75,CAI Metrópolis,5,-74,Automóvil particular,Particular,No Aplica,Volcamiento,Volcamiento,Ninguno,Despejado,1,0,0
2025-03-24,2025,3,24,Marzo,Lunes,1,1,16,Hora Pico Tarde,Rafael Uribe Uribe,Diana Turbay,Calle 48X Sur con Carrera 1 Este,Calle 48X Sur,Carrera 1 Este,CAI Diana Turbay,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Lluvia,1,0,0
2025-05-01,2025,5,1,Mayo,Jueves,2,1,15,Hora Valle,Los Mártires,Saman,Avenida Carrera 30 con Calle 3,Avenida Carrera 30,Calle 3,CAI Santa Isabel,5,-74,Automóvil particular,Particular,No Aplica,Choque con lesionado,Choque,Ninguno,Húmedo,1,2,0
2025-06-02,2025,6,2,Junio,Lunes,2,1,18,Hora Pico Tarde,San Cristóbal,La Victoria,Calle 40 Sur con Carrera 4 Este,Calle 40 Sur,Carrera 4 Este,CAI Victoria,5,-74,Automóvil particular,Particular,No Aplica,Choque simple,Choque,Ninguno,Despejado,1,0,0
2025-01-03,2025,1,3,Enero,Viernes,1,0,0,Madrugada,Ciudad Bolívar,Arborizadora Alta,Calle 70 Sur con Carrera 40,Calle 70 Sur,Carrera 40,CAI Arborizadora,5,-74,Taxi,Público,Individual,Choque con lesionado,Choque,Ninguno,Despejado,1,2,0
2025-11-17,2025,11,17,Noviembre,Lunes,4,1,11,Hora Valle,Engativá,Boyacá Real,Avenida Boyacá con Calle 68,Avenida Boyacá,Calle 68,CAI Boyacá Real,5,-74,Taxi,Público,Individual,Daño en pavimento,Otros,Ninguno,Húmedo,1,0,0
2024-03-20,2024,3,20,Marzo,Miércoles,1,0,18,Hora Pico Tarde,Fontibón,San Pablo,Calle 17A con Carrera 102,Calle 17A,Carrera 102,CAI Fontibón Centro,5,-74,Taxi,Público,Individual,Choque con lesionado,Choque,Vehículo estacionado,Lluvia,1,2,0
2025-06-11,2025,6,11,Junio,Miércoles,2,0,1,Madrugada,Puente Aranda,Alquería,Avenida Caracas con Calle 72,Avenida Caracas,Calle 72,CAI Restrepo,5,-74,Taxi,Público,Individual,Falla semafórica,Otros,Ninguno,Despejado,1,3,0
2022-03-21,2022,3,21,Marzo,Lunes,1,1,14,Hora Valle,Puente Aranda,Milenta,Avenida Carrera 68 con Calle 18 Sur,Avenida Carrera 68,Calle 18 Sur,CAI Milenta,5,-74,Bus SITP,Público,SITP Zonal,Falla semafórica,Otros,Ninguno,Lluvia,1,0,0
2023-12-31,2023,12,31,Diciembre,Domingo,4,0,23,Madrugada,Engativá,La Estradita,Carrera 69 con Calle 67,Carrera 69,Calle 67,CAI Estradita,5,-74,Bus SITP,Público,SITP Zonal,Falla semafórica,Otros,Ninguno,Despejado,1,0,0
2025-01-10,2025,1,10,Enero,Viernes,1,0,7,Hora Pico Mañana,Barrios Unidos,San Fernando,Carrera 50 con Calle 72,Carrera 50,Calle 72,CAI San Fernando,5,-74,Bus SITP,Público,SITP Zonal,Varado,Otros,Ninguno,Despejado,1,0,0
2025-07-20,2025,7,20,Julio,Domingo,3,1,20,Noche,Tunjuelito,Tunjuelito Centro,Avenida Caracas con Calle 51 Sur,Avenida Caracas,Calle 51 Sur,CAI Tunjuelito,5,-74,Bus SITP,Público,SITP Zonal,Falla semafórica,Otros,Ninguno,Despejado,1,0,0
2025-10-12,2025,10,12,Octubre,Domingo,4,0,2,Madrugada,Kennedy,Tintal,Avenida Ciudad de Cali con Calle 6,Avenida Ciudad de Cali,Calle 6,CAI Tintal,5,-74,Bus SITP,Público,SITP Zonal,Inundación / espejo de agua,Otros,Espejo de agua,Lluvia,1,0,0
2024-08-07,2024,8,7,Agosto,Miércoles,3,1,15,Hora Valle,Rafael Uribe Uribe,Diana Turbay,Calle 48X Sur con Carrera 1 Este,Calle 48X Sur,Carrera 1 Este,CAI Diana Turbay,5,-74,Bus SITP,Público,SITP Zonal,Falla semafórica,Otros,Ninguno,Lluvia,1,0,0
2023-05-07,2023,5,7,Mayo,Domingo,2,1,13,Hora Valle,Kennedy,Toberín,Calle 13 con Calle 6,Calle 13,Calle 6,CAI Chicó,5,-74,Bus SITP,Público,SITP Zonal,Caída de objetos en vía,Otros,Árbol,Despejado,1,0,0
2022-05-01,2022,5,1,Mayo,Domingo,2,1,11,Hora Valle,Rafael Uribe Uribe,Olaya,Carrera 24 con Calle 27 Sur,Carrera 24,Calle 27 Sur,CAI Olaya,5,-74,Camioneta,Particular,No Aplica,Caída de objetos en vía,Otros,Árbol,Lluvia,1,0,0
2025-08-18,2025,8,18,Agosto,Lunes,3,1,17,Hora Pico Tarde,Usme,Gran Yomasa,Calle 84 Sur con Carrera 4,Calle 84 Sur,Carrera 4,CAI Yomasa,5,-74,Camioneta,Particular,No Aplica,Caída de objetos en vía,Otros,Cables,Despejado,1,0,0
2022-11-02,2022,11,2,Noviembre,Miércoles,4,0,2,Madrugada,Los Mártires,Eduardo Santos,Carrera 18 con Calle 1F,Carrera 18,Calle 1F,CAI Eduardo Santos,5,-74,Camión,Particular,Carga,Daño en pavimento,Otros,Ninguno,Despejado,1,0,0
2024-01-01,2024,1,1,Enero,Lunes,1,1,3,Madrugada,Kennedy,Kennedy Central,Calle 37 Sur con Carrera 78,Calle 37 Sur,Carrera 78,CAI Kennedy,5,-74,Camión,Particular,Carga,Choque con objeto fijo,Choque,Árbol,Despejado,1,0,0
2023-12-02,2023,12,2,Diciembre,Sábado,4,0,4,Madrugada,Antonio Nariño,Restrepo,Avenida Boyacá con Calle 53,Avenida Boyacá,Calle 53,CAI Salitre,5,-74,Camión,Particular,Carga,Choque con objeto fijo,Choque,Separador,Niebla,1,1,0
2024-01-07,2024,1,7,Enero,Domingo,1,1,15,Hora Valle,Bosa,Venecia,Avenida Caracas con Calle 63,Avenida Caracas,Calle 63,CAI Chicó,5,-74,Camión,Particular,Carga,Atropello,Atropello,Ninguno,Húmedo,1,1,0
2025-05-08,2025,5,8,Mayo,Jueves,2,0,11,Hora Valle,Ciudad Bolívar,Meissen,Avenida Boyacá con Calle 61 Sur,Avenida Boyacá,Calle 61 Sur,CAI Meissen,5,-74,Camión,Particular,Carga,Choque con lesionado,Choque,Ninguno,Lluvia,1,3,0
2023-06-19,2023,6,19,Junio,Lunes,2,1,15,Hora Valle,Chapinero,Emaus,Carrera 4 con Calle 62,Carrera 4,Calle 62,CAI Chapinero,5,-74,Bicicleta,No Aplica,No Aplica,Atropello con fatalidad,Atropello,Ninguno,Nocturna sin alumbrado,1,0,1
2024-03-22,2024,3,22,Marzo,Viernes,1,0,22,Noche,Fontibón,Venecia,Avenida Ciudad de Cali con Calle 6,Avenida Ciudad de Cali,Calle 6,CAI Venecia,5,-74,Bicicleta,No Aplica,No Aplica,Autolesionado,Autolesionado,Ninguno,Niebla,1,3,0
2024-09-30,2024,9,30,Septiembre,Lunes,3,1,4,Madrugada,Chapinero,El Rincón,Carrera 30 con Calle 53,Carrera 30,Calle 53,CAI Kennedy,5,-74,Tractocamión,Particular,Carga Pesada,Volcamiento,Volcamiento,Ninguno,Húmedo,1,0,0
2025-04-13,2025,4,13,Abril,Domingo,2,1,3,Madrugada,San Cristóbal,Modelia,Avenida Boyacá con Calle 100,Avenida Boyacá,Calle 100,CAI Suba,5,-74,Tractocamión,Particular,Carga Pesada,Choque con lesionado,Choque,Ninguno,Despejado,1,3,0
2023-02-14,2023,2,14,Febrero,Martes,1,0,12,Hora Valle,Chapinero,Chapinero Alto,Carrera 7 con Calle 53,Carrera 7,Calle 53,CAI Chapinero,5,-74,Bus articulado,Público,SITP Troncal (TransMilenio),Cierre evento controlado,Otros,Ninguno,Despejado,1,0,0
2024-03-20,2024,3,20,Marzo,Miércoles,1,0,18,Hora Pico Tarde,Ciudad Bolívar,El Ensueño,Avenida Jorge Gaitán Cortés con Calle 61 Sur,Av. Jorge Gaitán C.,Calle 61 Sur,CAI Ensueño,5,-74,Bus articulado,Público,SITP Troncal (TransMilenio),Manifestación,Otros,Ninguno,Lluvia,1,0,0
2022-02-10,2022,2,10,Febrero,Jueves,1,0,23,Madrugada,Santa Fe,Las Nieves,Carrera 7 con Calle 19,Carrera 7,Calle 19,CAI Torres Blancas,5,-74,Buseta,Público,Transporte Tradicional TPC,Varado,Otros,Ninguno,Despejado,1,0,0
2022-03-02,2022,3,2,Marzo,Miércoles,1,0,18,Hora Pico Tarde,Santa Fe,Centro,Avenida Carrera 68 con Calle 45,Avenida Carrera 68,Calle 45,CAI Salitre,5,-74,Buseta,Público,Transporte Tradicional TPC,Choque simple,Choque,Ninguno,Lluvia,1,0,0
2025-07-05,2025,7,5,Julio,Sábado,3,0,13,Hora Valle,Tunjuelito,Venecia,Autopista Sur con Carrera 52,Autopista Sur,Carrera 52,CAI Venecia,5,-74,Buseta,Público,Transporte Tradicional TPC,Varado,Otros,Ninguno,Niebla,1,0,0
2024-07-20,2024,7,20,Julio,Sábado,3,1,10,Hora Valle,Rafael Uribe Uribe,Centenario,Carrera 24 con Calle 33 Sur,Carrera 24,Calle 33 Sur,CAI Centenario,5,-74,Buseta,Público,Transporte Tradicional TPC,Varado,Otros,Ninguno,Despejado,1,0,0
2022-08-14,2022,8,14,Agosto,Domingo,3,1,17,Hora Pico Tarde,Tunjuelito,Villas de Granada,Autopista Norte con Carrera 15,Autopista Norte,Carrera 15,CAI Alhambra,5,-74,Volqueta,Particular,Carga Pesada,Caída de objetos en vía,Otros,Árbol,Lluvia,1,0,0
2022-10-17,2022,10,17,Octubre,Lunes,4,1,13,Hora Valle,Fontibón,Ciudad Salitre,Avenida El Dorado con Carrera 68B,Avenida El Dorado,Carrera 68B,CAI Salitre,5,-74,Vehículo escolar,Público,Especial / Escolar,Vehículo mal estacionado,Otros,Ninguno,Despejado,1,0,0
2023-01-11,2023,1,11,Enero,Miércoles,1,0,21,Noche,Barrios Unidos,Niza,Avenida Carrera 68 con Calle 53,Avenida Carrera 68,Calle 53,CAI Suba,5,-74,Bicitaxi,No Aplica,Informal,Atropello con fatalidad,Atropello,Ninguno,Niebla,1,1,2
2023-09-11,2023,9,11,Septiembre,Lunes,3,0,2,Madrugada,Los Mártires,Cedritos,Avenida Carrera 68 con Calle 45,Avenida Carrera 68,Calle 45,CAI Rosario,5,-74,Bicitaxi,No Aplica,Informal,Choque objeto fijo con lesionado,Choque,Poste,Lluvia,1,0,0
2024-10-14,2024,10,14,Octubre,Lunes,4,1,13,Hora Valle,Usme,Alquería,Calle 13 con Calle 53,Calle 13,Calle 53,CAI Suba,5,-74,Patineta,No Aplica,Micro-movilidad Eléctrica,Choque simple,Choque,Ninguno,Despejado,1,2,0
2025-06-03,2025,6,3,Junio,Martes,2,0,7,Hora Pico Mañana,Ciudad Bolívar,Patio Bonito,Avenida Américas con Calle 45,Avenida Américas,Calle 45,CAI Venecia,5,-74,Patineta,No Aplica,Micro-movilidad Eléctrica,Atropello,Atropello,Ninguno,Despejado,1,0,0
2025-07-15,2025,7,15,Julio,Martes,3,0,9,Hora Valle,Puente Aranda,Niza,Carrera 30 con Calle 100,Carrera 30,Calle 100,CAI Venecia,5,-74,Patineta,No Aplica,Micro-movilidad Eléctrica,Atropello con fatalidad,Atropello,Ninguno,Niebla,1,2,0
2025-01-02,2025,1,2,Enero,Jueves,1,0,0,Madrugada,Barrios Unidos,7 de Agosto,Carrera 24 con Calle 66,Carrera 24,Calle 66,CAI 7 de Agosto,5,-74,Motocicleta,Público,Mensajería / Delivery,Autolesionado,Autolesionado,Ninguno,Lluvia,1,1,0
2022-02-10,2022,2,10,Febrero,Jueves,1,0,23,Madrugada,Engativá,La Estradita,Carrera 69 con Calle 67,Carrera 69,Calle 67,CAI Estradita,5,-74,Motocicleta,Público,Mensajería / Delivery,Choque con lesionado,Choque,Ninguno,Húmedo,1,0,0
2022-09-12,2022,9,12,Septiembre,Lunes,3,0,7,Hora Pico Mañana,Usme,Yomasa,Avenida Caracas con Calle 76 Sur,Avenida Caracas,Calle 76 Sur,CAI Yomasa,5,-74,Automóvil particular,Público,Plataformas Tecnológicas,Fallecido hospitalario,Otros,Ninguno,Despejado,1,0,1
2025-02-25,2025,2,25,Febrero,Martes,1,0,6,Hora Pico Mañana,Bosa,Industrial,Avenida Boyacá con Calle 53,Avenida Boyacá,Calle 53,CAI Kennedy,5,-74,Automóvil particular,Público,Plataformas Tecnológicas,Volcamiento,Volcamiento,Ninguno,Húmedo,1,1,0
2022-07-20,2022,7,20,Julio,Miércoles,3,1,9,Hora Valle,Barrios Unidos,Patria,Carrera 30 con Calle 80,Carrera 30,Calle 80,CAI Polo,5,-74,Bus biarticulado,Público,SITP Troncal (TransMilenio),Manifestación,Otros,Ninguno,Despejado,1,0,0
2025-09-30,2025,9,30,Septiembre,Martes,3,0,19,Noche,La Candelaria,Centro Administrativo,Carrera 4 con Calle 11,Carrera 4,Calle 11,CAI Rosario,5,-74,Bus biarticulado,Público,SITP Troncal (TransMilenio),Manifestación,Otros,Ninguno,Despejado,1,0,0
2022-12-08,2022,12,8,Diciembre,Jueves,4,1,20,Noche,Antonio Nariño,Restrepo,Carrera 19 con Calle 17 Sur,Carrera 19,Calle 17 Sur,CAI Restrepo,5,-74,Camión C2,Particular,Carga Mediana,Sustancia química en vía,Otros,Aceite,Húmedo,1,0,0
2022-06-15,2022,6,15,Junio,Miércoles,2,0,17,Hora Pico Tarde,Suba,Prado Veraniego,Calle 129 con Carrera 45,Calle 129,Carrera 45,CAI Prado,5,-74,Motocicleta,Particular,No Aplica,Caida de ocupante,Caída de ocupante,Ninguno,Despejado,1,1,0
